"fecha";"Run Fondo";"Serie";"Período";"Rentabilidad"
2023-07-19;"8795";APV1;"3M";0.3790214214151577
2023-07-19;"8795";APV1;"6M";0.24220895131173936
2023-07-19;"8795";APV1;"1Y";0.3662527980400565
2023-07-19;"8795";APV1;YTD;0.3343570114082042
2023-07-20;"8795";APV1;"1M";0.021015231286722003
2023-07-20;"8795";APV1;"3M";0.3703318117710832
2023-07-20;"8795";APV1;"6M";0.24674347225881
2023-07-20;"8795";APV1;"1Y";0.3974207157603682
2023-07-20;"8795";APV1;YTD;0.3229439851709375
2023-07-21;"8795";APV1;"1M";0.08168382454590017
2023-07-21;"8795";APV1;"3M";0.45169241385193404
2023-07-21;"8795";APV1;"6M";0.3208368417763159
2023-07-21;"8795";APV1;"1Y";0.4584009368612727
2023-07-21;"8795";APV1;YTD;0.40147037317360534
2023-07-22;"8795";APV1;"1M";0.07922647425639195
2023-07-22;"8795";APV1;"3M";0.45172046420297796
2023-07-22;"8795";APV1;"6M";0.32085056017715097
2023-07-22;"8795";APV1;"1Y";0.4462929506547759
2023-07-22;"8795";APV1;YTD;0.4013862331501261
2023-07-23;"8795";APV1;"1M";0.08032203825246342
2023-07-23;"8795";APV1;"3M";0.45173528609320335
2023-07-23;"8795";APV1;"6M";0.33062138401398267
2023-07-23;"8795";APV1;"1Y";0.446280583667483
2023-07-23;"8795";APV1;YTD;0.40130044592287106
2023-07-24;"8795";APV1;"1M";0.12216638628712961
2023-07-24;"8795";APV1;"3M";0.4346080861819175
2023-07-24;"8795";APV1;"6M";0.3770334681655678
2023-07-24;"8795";APV1;"1Y";0.5023322867343536
2023-07-24;"8795";APV1;YTD;0.45548703005738256
2023-07-25;"8795";APV1;"1M";0.14017465204762258
2023-07-25;"8795";APV1;"3M";0.5019994933262777
2023-07-25;"8795";APV1;"6M";0.3637049010908293
2023-07-25;"8795";APV1;"1Y";0.4317804769200513
2023-07-25;"8795";APV1;YTD;0.47875162327971665
2023-07-26;"8795";APV1;"1M";0.14766212018195213
2023-07-26;"8795";APV1;"3M";0.5569468245486897
2023-07-26;"8795";APV1;"6M";0.3669312771964799
2023-07-26;"8795";APV1;"1Y";0.5150188887256957
2023-07-26;"8795";APV1;YTD;0.48836937704496464
2023-07-27;"8795";APV1;"1M";0.15326205920487013
2023-07-27;"8795";APV1;"3M";0.48625336427880983
2023-07-27;"8795";APV1;"6M";0.3661562332583128
2023-07-27;"8795";APV1;"1Y";0.43125411303415606
2023-07-27;"8795";APV1;YTD;0.45734767414814015
2023-07-28;"8795";APV1;"1M";0.19662369896980336
2023-07-28;"8795";APV1;"3M";0.46372956639883234
2023-07-28;"8795";APV1;"6M";0.3864557443420764
2023-07-28;"8795";APV1;"1Y";0.39691793856297797
2023-07-28;"8795";APV1;YTD;0.478890388436791
2023-07-29;"8795";APV1;"1M";0.17466787643969384
2023-07-29;"8795";APV1;"3M";0.46372015715306003
2023-07-29;"8795";APV1;"6M";0.38638846473765365
2023-07-29;"8795";APV1;"1Y";0.4032319222113476
2023-07-29;"8795";APV1;YTD;0.4787172348203643
2023-07-30;"8795";APV1;"1M";0.16227979824446348
2023-07-30;"8795";APV1;"3M";0.463647618028713
2023-07-30;"8795";APV1;"6M";0.38052246362932385
2023-07-30;"8795";APV1;"1Y";0.4031702759258471
2023-07-30;"8795";APV1;YTD;0.47853954006122956
2023-07-31;"8795";APV1;"1M";0.21867169866043845
2023-07-31;"8795";APV1;"3M";0.534661388417411
2023-07-31;"8795";APV1;"6M";0.43524636783006554
2023-07-31;"8795";APV1;"1Y";0.47056329394171126
2023-07-31;"8795";APV1;YTD;0.5502758419655991
2023-01-31;"8795";APV1;"1M";0.08022783731419558
2023-01-31;"8795";APV1;"3M";-0.14678356282389604
2023-01-31;"8795";APV1;"6M";0.02460687370701442
2023-01-31;"8795";APV1;"1Y";0.13250067104828966
2023-01-31;"8795";APV1;YTD;0.08014615240548961
2023-02-01;"8795";APV1;"1M";0.042189977631515774
2023-02-01;"8795";APV1;"3M";-0.17682996710953103
2023-02-01;"8795";APV1;"6M";0.03493636574006831
2023-02-01;"8795";APV1;"1Y";0.08046206822079127
2023-02-01;"8795";APV1;YTD;0.04203169140160323
2023-02-02;"8795";APV1;"1M";0.003177349870298496
2023-02-02;"8795";APV1;"3M";-0.278038468794936
2023-02-02;"8795";APV1;"6M";0.0090259150318579
2023-02-02;"8795";APV1;"1Y";0.04654806849309434
2023-02-02;"8795";APV1;YTD;0.002949297821985386
2023-02-03;"8795";APV1;"1M";0.07017086812801598
2023-02-03;"8795";APV1;"3M";-0.3251436275414026
2023-02-03;"8795";APV1;"6M";-0.06057643517793465
2023-02-03;"8795";APV1;"1Y";0.006559747222632417
2023-02-03;"8795";APV1;YTD;-0.03338274274993758
2023-02-04;"8795";APV1;"1M";0.04199608000979693
2023-02-04;"8795";APV1;"3M";-0.3347348325221977
2023-02-04;"8795";APV1;"6M";-0.09668244110967028
2023-02-04;"8795";APV1;"1Y";-0.006193541096166544
